,lr,num_layers,kernel_size,hidden_dim,last_train_error,last_train_error,last_val_error,last_val_error,min_val_error,min_val_error
,,,,,mean,std,mean,std,mean,std
22,0.001,3,5,16,1.1583333333333352,0.04358898943540832,1.1733333333333373,0.015275252316517784,1.1433333333333333,0.04509249752822969
23,0.001,3,5,8,2.1861111111111104,0.10617508252009222,1.8766666666666671,0.1939931270260209,1.8766666666666671,0.1939931270260209
10,0.0001,3,5,16,3.871111111111114,0.03705601365700736,3.183333333333334,0.04041451884327552,3.183333333333334,0.04041451884327552
20,0.001,3,3,16,3.5572222222222227,0.11824331474329706,3.3366666666666656,0.11930353445448598,3.2700000000000027,0.15524174696260012
21,0.001,3,3,8,6.487777777777777,0.3295844746433385,5.61,0.321403173599761,5.540000000000002,0.36373066958946265
11,0.0001,3,5,8,8.803333333333333,0.35645242786848147,7.699999999999999,0.15524174696259993,7.696666666666666,0.15011106998930315
18,0.001,2,5,16,14.928333333333336,0.7770689230120532,13.800000000000002,0.6415605972938194,13.800000000000002,0.6415605972938194
8,0.0001,3,3,16,16.268888888888892,1.354931664260164,14.603333333333333,1.5390040069256954,14.603333333333333,1.5390040069256954
19,0.001,2,5,8,19.843888888888888,0.5177631733753405,18.46666666666667,0.48839874419712925,18.333333333333336,0.7145161533046903
9,0.0001,3,3,8,36.36055555555556,0.4819126630571334,34.71333333333334,0.27501515109777247,34.71333333333334,0.27501515109777247
16,0.001,2,3,16,40.059999999999995,0.7936221463083744,38.660000000000004,1.2413299319681301,38.660000000000004,1.2413299319681301
17,0.001,2,3,8,46.98611111111111,1.0504791675618728,45.776666666666664,1.1913997370040537,45.776666666666664,1.1913997370040537
6,0.0001,2,5,16,47.406666666666666,2.5185384871212677,46.833333333333336,3.038245107514093,46.6,3.0506228872150025
7,0.0001,2,5,8,57.419999999999995,3.092437460070037,56.97333333333333,3.512411327469112,56.97333333333333,3.512411327469112
14,0.001,1,5,16,64.43055555555556,0.049898044198299074,64.21,0.07211102550928662,64.17,0.1311487704860459
4,0.0001,2,3,16,65.23055555555557,2.1865754130688053,65.47666666666667,2.444469949361891,65.46333333333332,2.4221134022446864
15,0.001,1,5,8,68.72444444444444,0.7457478225344107,69.25333333333334,0.9976138197385481,69.25000000000001,0.9980480950335029
5,0.0001,2,3,8,71.33666666666666,1.4261174955490505,71.59666666666666,1.1849191252289455,71.55666666666666,1.2406584273414392
12,0.001,1,3,16,76.7,0.06244997998398834,77.60000000000001,0.09000000000000163,77.28333333333335,0.09073771725878069
13,0.001,1,3,8,76.99277777777776,0.05292377467571269,77.86666666666666,0.0814452781524713,77.70666666666666,0.050332229568480005
2,0.0001,1,5,16,78.81666666666666,0.2766214822540773,79.12333333333333,0.29704096238285105,78.76,0.5273518749374023
3,0.0001,1,5,8,79.16888888888889,0.36091062810823704,79.46,0.46130250378683263,79.25666666666666,0.5928181283777741
0,0.0001,1,3,16,79.70611111111111,0.345065747895049,79.76666666666667,0.4716283847833392,78.54666666666667,1.0127849393298385
1,0.0001,1,3,8,81.065,1.3664034299332442,81.03666666666666,1.1849191252289457,80.26,1.041297267834697
